tenant_id,id,topic,question,evidence_ok,matched_terms,expected_terms
giao_duc_haiyan,EDU12,enterprise,chi phí đào tạo tiếng Trung cho doanh nghiệp tính sao,True,chi phí | doanh nghiệp | tư vấn,chi phí | doanh nghiệp | tư vấn
giao_duc_haiyan,EDU13,children,HaiYan có lớp tiếng Trung cho trẻ em không,True,trẻ em | thiếu nhi,trẻ em | thiếu nhi
giao_duc_haiyan,EDU14,children,ở Nhơn Trạch có lớp tiếng Trung thiếu nhi không,True,Nhơn Trạch | thiếu nhi,Nhơn Trạch | thiếu nhi
giao_duc_haiyan,EDU15,children,bé học tiểu học bắt đầu tiếng Trung từ đầu được không,True,tiểu học | trẻ em | từ đầu,tiểu học | trẻ em | từ đầu
thuc_pham_thien_minh,FOOD01,catalogue,Thiện Minh đang bán nhóm thực phẩm nào vậy,True,thực dưỡng | ngũ cốc | gia vị,thực dưỡng | ngũ cốc | gia vị
thuc_pham_thien_minh,FOOD02,policy,sản phẩm bên mình có ghi nguồn gốc với hạn sử dụng không,True,nguồn gốc | hạn sử dụng | bao bì,nguồn gốc | hạn sử dụng | bao bì
thuc_pham_thien_minh,FOOD03,delivery,"shop có giao hàng không, giao nhanh chứ",True,giao hàng | nhanh chóng,giao hàng | nhanh chóng
thuc_pham_thien_minh,FOOD04,seasonings,bên mình có bán đường mía hữu cơ không,True,đường mía | hữu cơ,đường mía | hữu cơ
thuc_pham_thien_minh,FOOD05,seasonings,có dầu hướng dương ép lạnh không shop,True,dầu hướng dương | ép lạnh,dầu hướng dương | ép lạnh
thuc_pham_thien_minh,FOOD06,seasonings,shop có nhóm nước tương nước mắm hạt nêm không,True,nước tương | nước mắm | hạt nêm,nước tương | nước mắm | hạt nêm
thuc_pham_thien_minh,FOOD07,nutrition,Suto Meal bên mình có bán không,True,SUTO MEAL | dinh dưỡng,SUTO MEAL | dinh dưỡng
thuc_pham_thien_minh,FOOD08,nutrition,có sữa thực vật Glucose Plan Canxi loại 900g không,True,Glucose Plan | 900,Glucose Plan | 900
thuc_pham_thien_minh,FOOD09,fuma,phở gạo lứt Fuma gói bao nhiêu gram vậy,True,400g | Fuma,400g | Fuma
thuc_pham_thien_minh,FOOD10,fuma,nui gạo trắng Fuma có loại 400g không,True,400g | nui gạo trắng,400g | nui gạo trắng
thuc_pham_thien_minh,FOOD11,snacks,bánh gạo lứt Ohsawa vị hạt điều có chiên không,True,không chiên | hạt điều,không chiên | hạt điều
thuc_pham_thien_minh,FOOD12,snacks,bánh Ohsawa hạt điều rong biển có bán không,True,rong biển | hạt điều,rong biển | hạt điều
thuc_pham_thien_minh,FOOD13,snacks,bánh gạo lứt có đường tinh luyện hay chất bảo quản không,True,không đường tinh luyện | không chất bảo quản,không đường tinh luyện | không chất bảo quản
thuc_pham_thien_minh,FOOD14,catalogue,Thiện Minh có trà hoa cúc hữu cơ không,True,trà hoa cúc | hữu cơ,trà hoa cúc | hữu cơ
thuc_pham_thien_minh,FOOD15,catalogue,có gạo lứt đỏ Điện Biên không shop,True,gạo lứt đỏ | Điện Biên,gạo lứt đỏ | Điện Biên
